sample_idx,timestamp,pid,total,delta
0,2025-10-31T14:41:31.866473Z,153721,573,
1,2025-10-31T14:41:32.866660Z,153721,1307,734
2,2025-10-31T14:41:33.866846Z,153721,1941,634
3,2025-10-31T14:41:34.867039Z,153721,2730,789
4,2025-10-31T14:41:35.867266Z,153721,3383,653
5,2025-10-31T14:41:36.867495Z,153721,3947,564
6,2025-10-31T14:41:37.867693Z,153721,4503,556
7,2025-10-31T14:41:38.867896Z,153721,5233,730
8,2025-10-31T14:41:39.868110Z,153721,5821,588
9,2025-10-31T14:41:40.868563Z,153721,6613,792
10,2025-10-31T14:41:41.868778Z,153721,7400,787
11,2025-10-31T14:41:42.869021Z,153721,7948,548
12,2025-10-31T14:41:43.869406Z,153721,8558,610
13,2025-10-31T14:41:44.869688Z,153721,9172,614
14,2025-10-31T14:41:45.869912Z,153721,9850,678
15,2025-10-31T14:41:46.870144Z,153721,10487,637
16,2025-10-31T14:41:47.870447Z,153721,11116,629
17,2025-10-31T14:41:48.870727Z,153721,11746,630
18,2025-10-31T14:41:49.870943Z,153721,12325,579
19,2025-10-31T14:41:50.871155Z,153721,12841,516
20,2025-10-31T14:41:51.871445Z,153721,13410,569
21,2025-10-31T14:41:52.871698Z,153721,14112,702
22,2025-10-31T14:41:53.871925Z,153721,14789,677
23,2025-10-31T14:41:54.872239Z,153721,15285,496
24,2025-10-31T14:41:55.872561Z,153721,15845,560
25,2025-10-31T14:41:56.872882Z,153721,16488,643
26,2025-10-31T14:41:57.873160Z,153721,17152,664
27,2025-10-31T14:41:58.873395Z,153721,17677,525
28,2025-10-31T14:41:59.873584Z,153721,18293,616
29,2025-10-31T14:42:00.873777Z,153721,18784,491
30,2025-10-31T14:42:01.873974Z,153721,19542,758
31,2025-10-31T14:42:02.874167Z,153721,20095,553
32,2025-10-31T14:42:03.874356Z,153721,20723,628
33,2025-10-31T14:42:04.874553Z,153721,21357,634
34,2025-10-31T14:42:05.874846Z,153721,21908,551
35,2025-10-31T14:42:06.875122Z,153721,22614,706
36,2025-10-31T14:42:07.875358Z,153721,23325,711
37,2025-10-31T14:42:08.875716Z,153721,23932,607
38,2025-10-31T14:42:09.876117Z,153721,24604,672
39,2025-10-31T14:42:10.876596Z,153721,25253,649
40,2025-10-31T14:42:11.876918Z,153721,25884,631
41,2025-10-31T14:42:12.877212Z,153721,26658,774
42,2025-10-31T14:42:13.877436Z,153721,27391,733
43,2025-10-31T14:42:14.877650Z,153721,27946,555
44,2025-10-31T14:42:15.877907Z,153721,28729,783
45,2025-10-31T14:42:16.878109Z,153721,29562,833
46,2025-10-31T14:42:17.878338Z,153721,30232,670
47,2025-10-31T14:42:18.878547Z,153721,30961,729
48,2025-10-31T14:42:19.878791Z,153721,31594,633
49,2025-10-31T14:42:20.878990Z,153721,32282,688
50,2025-10-31T14:42:21.879270Z,153721,32909,627
51,2025-10-31T14:42:22.879546Z,153721,33571,662
52,2025-10-31T14:42:23.879749Z,153721,34246,675
53,2025-10-31T14:42:24.879967Z,153721,35024,778
54,2025-10-31T14:42:25.880182Z,153721,35747,723
55,2025-10-31T14:42:26.880370Z,153721,36370,623
56,2025-10-31T14:42:27.880567Z,153721,36858,488
57,2025-10-31T14:42:28.880778Z,153721,37490,632
58,2025-10-31T14:42:29.881014Z,153721,38094,604
